,Date,Year,Month,Zone,PD_PM10,Max_PM10,Min_PM10,Indice_PM10,Clase_PM10,PD_PM25,Max_PM25,Min_PM25,Indice_PM25,Clase_PM25
0,2019-03-01,2019,3,CE,56.0,101.0,23.0,72.618,Regular,27.0,55.0,8.0,33.75,Buena
1,2019-03-01,2019,3,NE,81.0,161.0,37.0,102.775,Mala,32.2,62.0,1.0,40.25,Buena
2,2019-03-01,2019,3,NO,63.0,112.0,21.0,82.706,Regular,35.1,61.0,12.0,43.875,Buena
3,2019-03-01,2019,3,SE,56.0,111.0,8.0,72.618,Regular,24.4,47.0,6.0,30.5,Buena
4,2019-03-01,2019,3,SO,38.0,85.0,3.0,47.5,Buena,20.3,44.0,1.0,25.375,Buena
5,2019-03-02,2019,3,CE,60.0,109.0,35.0,78.382,Regular,30.5,64.0,6.0,38.125,Buena
6,2019-03-02,2019,3,NE,74.0,145.0,25.0,98.559,Regular,30.5,62.0,9.0,38.125,Buena
7,2019-03-02,2019,3,NO,52.0,119.0,2.0,66.85300000000001,Regular,25.0,39.0,6.0,31.25,Buena
8,2019-03-02,2019,3,SE,62.0,104.0,36.0,81.265,Regular,28.7,57.0,10.0,35.875,Buena
9,2019-03-02,2019,3,SO,38.0,65.0,14.0,47.5,Buena,21.6,43.0,4.0,27.0,Buena
10,2019-03-03,2019,3,CE,50.0,83.0,29.0,63.971000000000004,Regular,24.6,38.0,11.0,30.75,Buena
11,2019-03-03,2019,3,NE,65.0,132.0,30.0,85.588,Regular,25.3,53.0,6.0,31.625,Buena
12,2019-03-03,2019,3,NO,44.0,116.0,9.0,55.324,Regular,18.4,28.0,12.0,23.0,Buena
13,2019-03-03,2019,3,SE,56.0,113.0,32.0,72.618,Regular,26.3,38.0,12.0,32.875,Buena
14,2019-03-03,2019,3,SO,32.0,69.0,14.0,40.0,Buena,17.6,30.0,6.0,22.0,Buena
15,2019-03-04,2019,3,CE,52.0,93.0,24.0,66.85300000000001,Regular,26.3,55.0,3.0,32.875,Buena
16,2019-03-04,2019,3,NE,71.0,134.0,30.0,94.235,Regular,30.2,54.0,10.0,37.75,Buena
17,2019-03-04,2019,3,NO,57.0,113.0,19.0,74.059,Regular,29.1,60.0,1.0,36.375,Buena
18,2019-03-04,2019,3,SE,56.0,79.0,33.0,72.618,Regular,31.0,51.0,10.0,38.75,Buena
19,2019-03-04,2019,3,SO,39.0,81.0,15.0,48.75,Buena,21.6,46.0,9.0,27.0,Buena
20,2019-03-05,2019,3,CE,51.0,90.0,23.0,65.41199999999999,Regular,30.0,59.0,13.0,37.5,Buena
21,2019-03-05,2019,3,NE,58.0,101.0,28.0,75.5,Regular,31.3,60.0,2.0,39.125,Buena
22,2019-03-05,2019,3,NO,57.0,121.0,6.0,74.059,Regular,32.5,48.0,18.0,40.625,Buena
23,2019-03-05,2019,3,SE,61.0,116.0,6.0,79.824,Regular,32.2,45.0,18.0,40.25,Buena
24,2019-03-05,2019,3,SO,42.0,77.0,19.0,52.441,Regular,25.5,51.0,9.0,31.875,Buena
25,2019-03-06,2019,3,CE,23.0,42.0,8.0,28.75,Buena,10.4,24.0,2.0,13.0,Buena
26,2019-03-06,2019,3,NE,18.0,35.0,5.0,22.5,Buena,7.8,19.0,2.0,9.75,Buena
27,2019-03-06,2019,3,SE,32.0,66.0,2.0,40.0,Buena,8.6,28.0,1.0,10.75,Buena
28,2019-03-06,2019,3,SO,17.0,48.0,5.0,21.25,Buena,8.1,27.0,1.0,10.125,Buena
29,2019-03-07,2019,3,CE,22.0,68.0,1.0,27.5,Buena,13.3,51.0,2.0,16.625,Buena
30,2019-03-07,2019,3,NE,27.0,69.0,4.0,33.75,Buena,12.5,37.0,1.0,15.625,Buena
31,2019-03-07,2019,3,NO,30.0,57.0,12.0,37.5,Buena,16.2,33.0,9.0,20.25,Buena
32,2019-03-07,2019,3,SE,29.0,72.0,2.0,36.25,Buena,13.8,27.0,2.0,17.25,Buena
33,2019-03-07,2019,3,SO,26.0,55.0,1.0,32.5,Buena,14.6,34.0,1.0,18.25,Buena
34,2019-03-08,2019,3,CE,27.0,58.0,5.0,33.75,Buena,16.0,33.0,4.0,20.0,Buena
35,2019-03-08,2019,3,NE,38.0,143.0,11.0,47.5,Buena,16.3,41.0,1.0,20.375,Buena
36,2019-03-08,2019,3,NO,31.0,116.0,4.0,38.75,Buena,17.8,30.0,1.0,22.25,Buena
37,2019-03-08,2019,3,SE,32.0,73.0,5.0,40.0,Buena,16.0,47.0,4.0,20.0,Buena
38,2019-03-08,2019,3,SO,24.0,85.0,6.0,30.0,Buena,13.5,34.0,5.0,16.875,Buena
39,2019-03-09,2019,3,CE,26.0,63.0,3.0,32.5,Buena,14.1,28.0,1.0,17.625,Buena
40,2019-03-09,2019,3,NE,30.0,62.0,7.0,37.5,Buena,12.9,32.0,1.0,16.125,Buena
41,2019-03-09,2019,3,SE,36.0,116.0,15.0,45.0,Buena,14.6,39.0,3.0,18.25,Buena
42,2019-03-09,2019,3,SO,23.0,54.0,9.0,28.75,Buena,12.1,33.0,2.0,15.125,Buena
43,2019-03-10,2019,3,CE,22.0,70.0,8.0,27.5,Buena,11.5,23.0,3.0,14.375,Buena
44,2019-03-10,2019,3,NE,28.0,103.0,9.0,35.0,Buena,11.3,35.0,3.0,14.125,Buena
45,2019-03-10,2019,3,NO,28.0,98.0,4.0,35.0,Buena,14.2,35.0,5.0,17.75,Buena
46,2019-03-10,2019,3,SE,28.0,86.0,6.0,35.0,Buena,14.7,27.0,5.0,18.375,Buena
47,2019-03-10,2019,3,SO,16.0,49.0,3.0,20.0,Buena,9.5,34.0,1.0,11.875,Buena
48,2019-03-11,2019,3,CE,21.0,46.0,5.0,26.25,Buena,14.8,32.0,1.0,18.5,Buena
49,2019-03-11,2019,3,NE,22.0,47.0,1.0,27.5,Buena,12.4,29.0,1.0,15.5,Buena
50,2019-03-11,2019,3,NO,22.0,52.0,1.0,27.5,Buena,18.9,41.0,3.0,23.625,Buena
51,2019-03-11,2019,3,SE,22.0,57.0,3.0,27.5,Buena,17.0,39.0,2.0,21.25,Buena
52,2019-03-11,2019,3,SO,16.0,40.0,1.0,20.0,Buena,11.8,28.0,1.0,14.75,Buena
53,2019-03-12,2019,3,CE,47.0,95.0,19.0,59.647,Regular,21.5,38.0,1.0,26.875,Buena
54,2019-03-12,2019,3,NE,62.0,151.0,9.0,81.265,Regular,21.8,56.0,3.0,27.25,Buena
55,2019-03-12,2019,3,NO,49.0,111.0,3.0,62.528999999999996,Regular,23.9,46.0,5.0,29.875,Buena
56,2019-03-12,2019,3,SE,59.0,140.0,15.0,76.941,Regular,23.2,43.0,1.0,29.0,Buena
57,2019-03-12,2019,3,SO,34.0,60.0,7.0,42.5,Buena,18.6,37.0,5.0,23.25,Buena
58,2019-03-13,2019,3,CE,54.0,111.0,23.0,69.735,Regular,24.5,44.0,3.0,30.625,Buena
59,2019-03-13,2019,3,NE,65.0,118.0,31.0,85.588,Regular,25.4,60.0,5.0,31.75,Buena
60,2019-03-13,2019,3,NO,57.0,100.0,18.0,74.059,Regular,28.4,56.0,14.0,35.5,Buena
61,2019-03-13,2019,3,SE,56.0,98.0,19.0,72.618,Regular,22.2,42.0,1.0,27.75,Buena
62,2019-03-13,2019,3,SO,34.0,74.0,8.0,42.5,Buena,16.0,33.0,4.0,20.0,Buena
63,2019-03-14,2019,3,CE,58.0,96.0,38.0,75.5,Regular,27.5,51.0,15.0,34.375,Buena
