FECHA,Year,Month,Zona,PromDiario,Max,Min,Indice,Clase
2019-03-01,2019,3,CE,56.0,101.0,23.0,72.618,Regular
2019-03-01,2019,3,NE,81.0,161.0,37.0,102.775,Mala
2019-03-01,2019,3,NO,63.0,112.0,21.0,82.706,Regular
2019-03-01,2019,3,SE,56.0,111.0,8.0,72.618,Regular
2019-03-01,2019,3,SO,38.0,85.0,3.0,47.5,Buena
2019-03-02,2019,3,CE,60.0,109.0,35.0,78.382,Regular
2019-03-02,2019,3,NE,74.0,145.0,25.0,98.559,Regular
2019-03-02,2019,3,NO,52.0,119.0,2.0,66.853,Regular
2019-03-02,2019,3,SE,62.0,104.0,36.0,81.265,Regular
2019-03-02,2019,3,SO,38.0,65.0,14.0,47.5,Buena
2019-03-03,2019,3,CE,50.0,83.0,29.0,63.971,Regular
2019-03-03,2019,3,NE,65.0,132.0,30.0,85.588,Regular
2019-03-03,2019,3,NO,44.0,116.0,9.0,55.324,Regular
2019-03-03,2019,3,SE,56.0,113.0,32.0,72.618,Regular
2019-03-03,2019,3,SO,32.0,69.0,14.0,40.0,Buena
2019-03-04,2019,3,CE,52.0,93.0,24.0,66.853,Regular
2019-03-04,2019,3,NE,71.0,134.0,30.0,94.235,Regular
2019-03-04,2019,3,NO,57.0,113.0,19.0,74.059,Regular
2019-03-04,2019,3,SE,56.0,79.0,33.0,72.618,Regular
2019-03-04,2019,3,SO,39.0,81.0,15.0,48.75,Buena
2019-03-05,2019,3,CE,51.0,90.0,23.0,65.412,Regular
2019-03-05,2019,3,NE,58.0,101.0,28.0,75.5,Regular
2019-03-05,2019,3,NO,57.0,121.0,6.0,74.059,Regular
2019-03-05,2019,3,SE,61.0,116.0,6.0,79.824,Regular
2019-03-05,2019,3,SO,42.0,77.0,19.0,52.441,Regular
2019-03-06,2019,3,CE,23.0,42.0,8.0,28.75,Buena
2019-03-06,2019,3,NE,18.0,35.0,5.0,22.5,Buena
2019-03-06,2019,3,NO,22.0,56.0,1.0,27.5,Buena
2019-03-06,2019,3,SE,32.0,66.0,2.0,40.0,Buena
2019-03-06,2019,3,SO,17.0,48.0,5.0,21.25,Buena
2019-03-07,2019,3,CE,22.0,68.0,1.0,27.5,Buena
2019-03-07,2019,3,NE,27.0,69.0,4.0,33.75,Buena
2019-03-07,2019,3,NO,30.0,57.0,12.0,37.5,Buena
2019-03-07,2019,3,SE,29.0,72.0,2.0,36.25,Buena
2019-03-07,2019,3,SO,26.0,55.0,1.0,32.5,Buena
2019-03-08,2019,3,CE,27.0,58.0,5.0,33.75,Buena
2019-03-08,2019,3,NE,38.0,143.0,11.0,47.5,Buena
2019-03-08,2019,3,NO,31.0,116.0,4.0,38.75,Buena
2019-03-08,2019,3,SE,32.0,73.0,5.0,40.0,Buena
2019-03-08,2019,3,SO,24.0,85.0,6.0,30.0,Buena
2019-03-09,2019,3,CE,26.0,63.0,3.0,32.5,Buena
2019-03-09,2019,3,NE,30.0,62.0,7.0,37.5,Buena
2019-03-09,2019,3,NO,26.0,73.0,5.0,32.5,Buena
2019-03-09,2019,3,SE,36.0,116.0,15.0,45.0,Buena
2019-03-09,2019,3,SO,23.0,54.0,9.0,28.75,Buena
2019-03-10,2019,3,CE,22.0,70.0,8.0,27.5,Buena
2019-03-10,2019,3,NE,28.0,103.0,9.0,35.0,Buena
2019-03-10,2019,3,NO,28.0,98.0,4.0,35.0,Buena
2019-03-10,2019,3,SE,28.0,86.0,6.0,35.0,Buena
2019-03-10,2019,3,SO,16.0,49.0,3.0,20.0,Buena
2019-03-11,2019,3,CE,21.0,46.0,5.0,26.25,Buena
2019-03-11,2019,3,NE,22.0,47.0,1.0,27.5,Buena
2019-03-11,2019,3,NO,22.0,52.0,1.0,27.5,Buena
2019-03-11,2019,3,SE,22.0,57.0,3.0,27.5,Buena
2019-03-11,2019,3,SO,16.0,40.0,1.0,20.0,Buena
2019-03-12,2019,3,CE,47.0,95.0,19.0,59.647,Regular
2019-03-12,2019,3,NE,62.0,151.0,9.0,81.265,Regular
2019-03-12,2019,3,NO,49.0,111.0,3.0,62.529,Regular
2019-03-12,2019,3,SE,59.0,140.0,15.0,76.941,Regular
2019-03-12,2019,3,SO,34.0,60.0,7.0,42.5,Buena
2019-03-13,2019,3,CE,54.0,111.0,23.0,69.735,Regular
2019-03-13,2019,3,NE,65.0,118.0,31.0,85.588,Regular
2019-03-13,2019,3,NO,57.0,100.0,18.0,74.059,Regular
2019-03-13,2019,3,SE,56.0,98.0,19.0,72.618,Regular
2019-03-13,2019,3,SO,34.0,74.0,8.0,42.5,Buena
2019-03-14,2019,3,CE,58.0,96.0,38.0,75.5,Regular
2019-03-14,2019,3,NE,73.0,146.0,36.0,97.118,Regular
2019-03-14,2019,3,NO,69.0,121.0,17.0,91.353,Regular
2019-03-14,2019,3,SE,63.0,96.0,28.0,82.706,Regular
2019-03-14,2019,3,SO,44.0,72.0,21.0,55.324,Regular
2019-03-15,2019,3,CE,62.0,104.0,33.0,81.265,Regular
2019-03-15,2019,3,NE,69.0,139.0,26.0,91.353,Regular
2019-03-15,2019,3,NO,59.0,108.0,24.0,76.941,Regular
