FECHA,Year,Month,Zona,PromDiario,Max,Min,Indice,Clase
2019-03-01,2019,3,CE,27.0,55.0,8.0,33.75,Buena
2019-03-01,2019,3,NE,32.2,62.0,1.0,40.25,Buena
2019-03-01,2019,3,NO,35.1,61.0,12.0,43.875,Buena
2019-03-01,2019,3,SE,24.4,47.0,6.0,30.5,Buena
2019-03-01,2019,3,SO,20.3,44.0,1.0,25.375,Buena
2019-03-02,2019,3,CE,30.5,64.0,6.0,38.125,Buena
2019-03-02,2019,3,NE,30.5,62.0,9.0,38.125,Buena
2019-03-02,2019,3,NO,25.0,39.0,6.0,31.25,Buena
2019-03-02,2019,3,SE,28.7,57.0,10.0,35.875,Buena
2019-03-02,2019,3,SO,21.6,43.0,4.0,27.0,Buena
2019-03-03,2019,3,CE,24.6,38.0,11.0,30.75,Buena
2019-03-03,2019,3,NE,25.3,53.0,6.0,31.625,Buena
2019-03-03,2019,3,NO,18.4,28.0,12.0,23.0,Buena
2019-03-03,2019,3,SE,26.3,38.0,12.0,32.875,Buena
2019-03-03,2019,3,SO,17.6,30.0,6.0,22.0,Buena
2019-03-04,2019,3,CE,26.3,55.0,3.0,32.875,Buena
2019-03-04,2019,3,NE,30.2,54.0,10.0,37.75,Buena
2019-03-04,2019,3,NO,29.1,60.0,1.0,36.375,Buena
2019-03-04,2019,3,SE,31.0,51.0,10.0,38.75,Buena
2019-03-04,2019,3,SO,21.6,46.0,9.0,27.0,Buena
2019-03-05,2019,3,CE,30.0,59.0,13.0,37.5,Buena
2019-03-05,2019,3,NE,31.3,60.0,2.0,39.125,Buena
2019-03-05,2019,3,NO,32.5,48.0,18.0,40.625,Buena
2019-03-05,2019,3,SE,32.2,45.0,18.0,40.25,Buena
2019-03-05,2019,3,SO,25.5,51.0,9.0,31.875,Buena
2019-03-06,2019,3,CE,10.4,24.0,2.0,13.0,Buena
2019-03-06,2019,3,NE,7.8,19.0,2.0,9.75,Buena
2019-03-06,2019,3,SE,8.6,28.0,1.0,10.75,Buena
2019-03-06,2019,3,SO,8.1,27.0,1.0,10.125,Buena
2019-03-07,2019,3,CE,13.3,51.0,2.0,16.625,Buena
2019-03-07,2019,3,NE,12.5,37.0,1.0,15.625,Buena
2019-03-07,2019,3,NO,16.2,33.0,9.0,20.25,Buena
2019-03-07,2019,3,SE,13.8,27.0,2.0,17.25,Buena
2019-03-07,2019,3,SO,14.6,34.0,1.0,18.25,Buena
2019-03-08,2019,3,CE,16.0,33.0,4.0,20.0,Buena
2019-03-08,2019,3,NE,16.3,41.0,1.0,20.375,Buena
2019-03-08,2019,3,NO,17.8,30.0,1.0,22.25,Buena
2019-03-08,2019,3,SE,16.0,47.0,4.0,20.0,Buena
2019-03-08,2019,3,SO,13.5,34.0,5.0,16.875,Buena
2019-03-09,2019,3,CE,14.1,28.0,1.0,17.625,Buena
2019-03-09,2019,3,NE,12.9,32.0,1.0,16.125,Buena
2019-03-09,2019,3,SE,14.6,39.0,3.0,18.25,Buena
2019-03-09,2019,3,SO,12.1,33.0,2.0,15.125,Buena
2019-03-10,2019,3,CE,11.5,23.0,3.0,14.375,Buena
2019-03-10,2019,3,NE,11.3,35.0,3.0,14.125,Buena
2019-03-10,2019,3,NO,14.2,35.0,5.0,17.75,Buena
2019-03-10,2019,3,SE,14.7,27.0,5.0,18.375,Buena
2019-03-10,2019,3,SO,9.5,34.0,1.0,11.875,Buena
2019-03-11,2019,3,CE,14.8,32.0,1.0,18.5,Buena
2019-03-11,2019,3,NE,12.4,29.0,1.0,15.5,Buena
2019-03-11,2019,3,NO,18.9,41.0,3.0,23.625,Buena
2019-03-11,2019,3,SE,17.0,39.0,2.0,21.25,Buena
2019-03-11,2019,3,SO,11.8,28.0,1.0,14.75,Buena
2019-03-12,2019,3,CE,21.5,38.0,1.0,26.875,Buena
2019-03-12,2019,3,NE,21.8,56.0,3.0,27.25,Buena
2019-03-12,2019,3,NO,23.9,46.0,5.0,29.875,Buena
2019-03-12,2019,3,SE,23.2,43.0,1.0,29.0,Buena
2019-03-12,2019,3,SO,18.6,37.0,5.0,23.25,Buena
2019-03-13,2019,3,CE,24.5,44.0,3.0,30.625,Buena
2019-03-13,2019,3,NE,25.4,60.0,5.0,31.75,Buena
2019-03-13,2019,3,NO,28.4,56.0,14.0,35.5,Buena
2019-03-13,2019,3,SE,22.2,42.0,1.0,27.75,Buena
2019-03-13,2019,3,SO,16.0,33.0,4.0,20.0,Buena
2019-03-14,2019,3,CE,27.5,51.0,15.0,34.375,Buena
2019-03-14,2019,3,NE,30.0,69.0,4.0,37.5,Buena
2019-03-14,2019,3,NO,32.2,50.0,7.0,40.25,Buena
2019-03-14,2019,3,SE,30.5,58.0,14.0,38.125,Buena
2019-03-14,2019,3,SO,23.5,47.0,11.0,29.375,Buena
2019-03-15,2019,3,CE,30.6,59.0,6.0,38.25,Buena
2019-03-15,2019,3,NE,30.0,64.0,3.0,37.5,Buena
2019-03-15,2019,3,NO,30.8,59.0,5.0,38.5,Buena
2019-03-15,2019,3,SE,28.6,60.0,4.0,35.75,Buena
2019-03-15,2019,3,SO,25.1,52.0,7.0,31.375,Buena
2019-03-16,2019,3,CE,23.7,62.0,5.0,29.625,Buena
2019-03-16,2019,3,NE,22.1,47.0,6.0,27.625,Buena
2019-03-16,2019,3,NO,26.0,53.0,11.0,32.5,Buena
2019-03-16,2019,3,SE,22.8,50.0,5.0,28.5,Buena
2019-03-16,2019,3,SO,20.5,51.0,8.0,25.625,Buena
2019-03-17,2019,3,CE,30.0,50.0,9.0,37.5,Buena
2019-03-17,2019,3,NE,29.5,52.0,2.0,36.875,Buena
2019-03-17,2019,3,NO,28.0,55.0,14.0,35.0,Buena
2019-03-17,2019,3,SE,31.1,53.0,18.0,38.875,Buena
2019-03-17,2019,3,SO,25.4,53.0,11.0,31.75,Buena
2019-03-18,2019,3,CE,21.4,40.0,5.0,26.75,Buena
2019-03-18,2019,3,NE,21.0,47.0,3.0,26.25,Buena
2019-03-18,2019,3,NO,24.4,44.0,5.0,30.5,Buena
2019-03-18,2019,3,SE,18.8,37.0,3.0,23.5,Buena
2019-03-18,2019,3,SO,17.3,43.0,4.0,21.625,Buena
2019-03-19,2019,3,CE,20.8,53.0,4.0,26.0,Buena
2019-03-19,2019,3,NE,22.2,59.0,5.0,27.75,Buena
2019-03-19,2019,3,NO,28.9,61.0,6.0,36.125,Buena
2019-03-19,2019,3,SE,18.1,33.0,5.0,22.625,Buena
2019-03-19,2019,3,SO,15.7,47.0,1.0,19.625,Buena
2019-03-20,2019,3,CE,23.7,50.0,4.0,29.625,Buena
2019-03-20,2019,3,NE,25.1,67.0,4.0,31.375,Buena
2019-03-20,2019,3,NO,23.7,43.0,7.0,29.625,Buena
2019-03-20,2019,3,SE,22.3,44.0,7.0,27.875,Buena
2019-03-20,2019,3,SO,14.1,34.0,2.0,17.625,Buena
2019-03-21,2019,3,CE,27.4,49.0,9.0,34.25,Buena
2019-03-21,2019,3,NE,23.2,63.0,2.0,29.0,Buena
2019-03-21,2019,3,NO,27.2,48.0,13.0,34.0,Buena
2019-03-21,2019,3,SE,23.7,39.0,10.0,29.625,Buena
2019-03-21,2019,3,SO,20.6,47.0,6.0,25.75,Buena
2019-03-22,2019,3,CE,18.6,41.0,2.0,23.25,Buena
2019-03-22,2019,3,NE,20.6,58.0,1.0,25.75,Buena
2019-03-22,2019,3,NO,22.1,42.0,9.0,27.625,Buena
2019-03-22,2019,3,SE,18.5,34.0,3.0,23.125,Buena
2019-03-22,2019,3,SO,13.4,25.0,4.0,16.75,Buena
2019-03-23,2019,3,CE,17.3,28.0,1.0,21.625,Buena
2019-03-23,2019,3,NE,22.3,47.0,2.0,27.875,Buena
2019-03-23,2019,3,NO,21.4,43.0,1.0,26.75,Buena
2019-03-23,2019,3,SE,20.0,42.0,3.0,25.0,Buena
2019-03-23,2019,3,SO,12.2,26.0,3.0,15.25,Buena
2019-03-24,2019,3,CE,20.5,41.0,7.0,25.625,Buena
2019-03-24,2019,3,NE,19.2,47.0,3.0,24.0,Buena
2019-03-24,2019,3,NO,21.7,38.0,4.0,27.125,Buena
2019-03-24,2019,3,SE,19.9,32.0,9.0,24.875,Buena
2019-03-24,2019,3,SO,17.5,40.0,4.0,21.875,Buena
2019-03-25,2019,3,CE,16.0,44.0,2.0,20.0,Buena
2019-03-25,2019,3,NE,16.7,49.0,1.0,20.875,Buena
2019-03-25,2019,3,NO,16.2,34.0,1.0,20.25,Buena
2019-03-25,2019,3,SE,17.9,38.0,6.0,22.375,Buena
2019-03-25,2019,3,SO,10.9,31.0,1.0,13.625,Buena
2019-03-26,2019,3,CE,14.1,36.0,3.0,17.625,Buena
2019-03-26,2019,3,NE,15.8,51.0,1.0,19.75,Buena
2019-03-26,2019,3,NO,12.3,26.0,1.0,15.375,Buena
2019-03-26,2019,3,SE,14.0,30.0,6.0,17.5,Buena
2019-03-26,2019,3,SO,8.5,25.0,1.0,10.625,Buena
2019-03-27,2019,3,CE,18.4,39.0,1.0,23.0,Buena
